Highway Rise
8.8
1.0
0 1
0.85 1
3.870546 1.5E-05
4.179955 0.428003
4.48572 0.850353
4.787884 1.267126
5.08647 1.678358
5.381523 2.084114
5.673079 2.484438
5.961176 2.879389
6.24585 3.269011
6.527134 3.653355
6.805065 4.032471
7.079668 4.406406
7.351004 4.775223
7.619087 5.138954
7.883959 5.497663
8.145657 5.851395
8.404209 6.200191
8.659649 6.544106
8.912024 6.883186
9.161354 7.217478
9.407682 7.547037
9.651039 7.871904
9.891451 8.192123
10.128962 8.507746
10.363604 8.818821
10.595404 9.125391
10.8244 9.427502
11.050619 9.725203
11.274099 10.018535
11.494871 10.307546
11.712961 10.59228
11.928411 10.872784
12.141247 11.149099
12.351496 11.421273
12.559196 11.689348
12.764376 11.953369
12.967068 12.213378
13.167301 12.469419
13.365103 12.721533
13.560513 12.969766
13.753548 13.214156
13.94425 13.454753
14.132639 13.691588
14.318752 13.924711
14.502615 14.154163
14.684258 14.379981
14.863712 14.602211
15.040997 14.820887
15.21615 15.036055
15.3892 15.247753
15.560171 15.45602
15.729092 15.660897
15.895988 15.862423
16.060894 16.060638
16.223833 16.255577
16.384825 16.447281
16.543909 16.635792
16.701107 16.821142
16.856447 17.003372
17.009953 17.182518
17.161648 17.358616
17.311567 17.531712
17.459732 17.70183
17.606163 17.869013
17.750893 18.033297
17.89394 18.194714
18.035341 18.353308
18.17511 18.509106
18.313276 18.662149
18.44986 18.812468
18.584892 18.960098
18.718391 19.105074
18.850386 19.247431
18.980896 19.387203
19.109947 19.524424
19.23756 19.659124
19.36376 19.791338
19.488573 19.921101
19.612019 20.048445
19.734116 20.173397
19.854893 20.295994
19.974371 20.416267
20.092571 20.534248
20.209513 20.649967
20.325222 20.763456
20.439716 20.874744
20.55302 20.983864
20.665154 21.090845
20.776134 21.195715
20.88599 21.298508
20.994732 21.399246
21.10239 21.497969
21.208981 21.594696
21.314522 21.689461
21.419035 21.782291
21.522537 21.873213
21.625051 21.962257
21.726593 22.049448
21.827183 22.134815
21.926842 22.218386
22.025589 22.300186
22.123436 22.380243
22.220409 22.458582
22.316521 22.535231
22.411791 22.610212
22.506237 22.683554
22.599874 22.755281
22.692726 22.825418
22.784803 22.893991
22.876125 22.961023
22.966711 23.026539
23.056572 23.090561
23.145727 23.153114
23.234192 23.214222
23.321983 23.273909
23.409115 23.332195
23.495605 23.389107
23.58147 23.444662
23.666721 23.498886
23.751373 23.5518
23.835445 23.603424
23.918949 23.653782
24.001898 23.702894
24.084309 23.750778
24.166193 23.797461
24.247566 23.842957
24.328442 23.887289
24.408831 23.930475
24.488752 23.972538
24.568213 24.013494
24.647228 24.053364
24.725811 24.092163
24.803974 24.129915
24.881727 24.166636
24.959087 24.202341
25.036062 24.237053
25.112665 24.270784
25.188906 24.303555
25.264799 24.335382
25.340351 24.366282
25.415579 24.396269
25.490486 24.425362
25.565092 24.453575
25.639399 24.480925
25.713421 24.507425
25.787169 24.533094
