Cherry Blossom
5
0.6
0.17 1
0.86 0
1.081759 0.597164
1.090403 0.973576
1.101358 1.344198
1.114588 1.709084
1.13006 2.068287
1.147739 2.42186
1.167591 2.769855
1.189583 3.112326
1.21368 3.449323
1.239849 3.7809
1.268057 4.107108
1.298272 4.427998
1.330459 4.743621
1.364587 5.054029
1.400624 5.359273
1.438537 5.659401
1.478294 5.954467
1.519863 6.244517
1.563213 6.529604
1.608313 6.809774
1.655131 7.085078
1.703637 7.355565
1.753799 7.621284
1.805587 7.88228
1.858971 8.138606
1.913921 8.390306
1.970406 8.637429
2.028398 8.880024
2.087866 9.118135
2.148781 9.35181
2.211114 9.581097
2.274837 9.806038
2.33992 10.026686
2.406336 10.24308
2.474055 10.45527
2.54305 10.663298
2.613292 10.86721
2.684756 11.067052
2.757411 11.262868
2.831232 11.454701
2.906191 11.642594
2.982263 11.826593
3.059418 12.006742
3.137633 12.183083
3.216881 12.355662
3.297133 12.524514
3.378366 12.689685
3.460555 12.851221
3.543674 13.009161
3.627696 13.163546
3.712596 13.314416
3.798351 13.461814
3.884937 13.605782
3.972328 13.74636
4.0605 13.883584
4.14943 14.017504
4.239093 14.148148
4.329466 14.275561
4.420526 14.399785
4.512249 14.520857
4.604612 14.638813
4.697594 14.753695
4.791171 14.865537
4.88532 14.974382
4.98002 15.080264
5.075249 15.183226
5.170985 15.283297
5.267206 15.380519
5.363893 15.47493
5.461022 15.566563
5.558573 15.655454
5.656527 15.741642
5.754861 15.825159
5.853556 15.906044
5.952592 15.98433
6.051948 16.060053
6.151606 16.133245
6.251546 16.203945
6.351748 16.272184
6.452193 16.337997
6.552863 16.401415
6.653739 16.462473
6.754801 16.521206
6.856034 16.577642
6.957418 16.631821
7.058935 16.683767
7.160568 16.733517
7.262301 16.781105
7.364113 16.826555
7.46599 16.869907
7.567914 16.911182
7.669868 16.95042
7.771838 16.987646
7.873806 17.022894
7.975755 17.05619
8.077672 17.087566
8.17954 17.117054
8.281341 17.144674
8.383063 17.170464
8.484691 17.19445
8.586209 17.216661
8.687604 17.237123
8.78886 17.255863
8.889966 17.272915
8.990902 17.2883
9.09166 17.30205
9.192224 17.31419
9.292582 17.324741
9.392717 17.333736
9.492622 17.341198
9.592281 17.347157
9.691683 17.351635
9.790812 17.354656
9.889661 17.356251
9.988214 17.356434
10.086461 17.35524
10.18439 17.35269
10.281992 17.348806
10.379252 17.343615
10.476165 17.337135
10.572712 17.329397
10.668891 17.320419
10.764687 17.310221
10.860089 17.298834
10.955092 17.286274
11.049682 17.272564
11.143849 17.257727
11.23759 17.241781
11.33089 17.224751
11.42374 17.206656
11.516136 17.187511
11.608066 17.167351
11.699524 17.146185
11.7905 17.124033
11.880985 17.100916
11.970978 17.076859
12.060465 17.051874
12.14944 17.025982
12.237898 16.999201
12.325831 16.971554
12.413235 16.943052
12.500094 16.913715
12.586418 16.883564
12.672189 16.852613
12.757402 16.820877
12.842057 16.788378
12.926145 16.755129
13.009662 16.721149
13.092603 16.686449
13.174963 16.651052
13.256734 16.614967
13.337919 16.578213
13.418509 16.540804
13.4985 16.50275
13.57789 16.464073
13.656677 16.424786
13.734855 16.384897
13.812421 16.344423
13.889372 16.303381
13.965706 16.261778
14.041424 16.219631
14.11652 16.176952
14.190989 16.133751
14.264835 16.090044
14.338053 16.045839
14.410644 16.00115
14.482603 15.955987
14.553935 15.910364
14.62463 15.864285
14.694699 15.817769
14.764132 15.770822
14.832933 15.723454
14.9011 15.675673
14.968637 15.627493
15.035538 15.578916
15.101812 15.529961
15.167455 15.480631
15.232466 15.430936
15.29685 15.38088
15.360608 15.330477
15.423738 15.279729
15.486247 15.228646
15.548134 15.17724
15.609401 15.12551
15.670052 15.073467
15.73009 15.021117
15.789518 14.968463
15.848335 14.915518
15.906549 14.86228
15.96416 14.808756
16.021175 14.754955
16.077597 14.700879
16.13343 14.646535
16.188675 14.591923
16.243343 14.537051
16.297432 14.481918
16.350952 14.426536
16.403906 14.370899
16.456297 14.315017
16.508137 14.258887
16.559425 14.202517
16.61017 14.145905
16.660379 14.089056
16.710056 14.031971
16.759209 13.974652
16.807842 13.917103
16.855961 13.859323
16.903572 13.801313
16.950686 13.743081
16.997301 13.684625
17.043427 13.625946
17.089071 13.567052
17.134237 13.50794
17.178936 13.448615
17.223164 13.389074
17.266937 13.329328
17.310255 13.269371
17.353123 13.20921
17.395554 13.148846
17.437546 13.088281
17.479111 13.027517
17.52025 12.966558
17.560972 12.905401
17.60128 12.844055
17.641186 12.782519
17.680691 12.720794
17.719801 12.658888
17.758524 12.596795
17.796862 12.534521
17.834824 12.472072
17.872414 12.409447
17.909643 12.346645
17.946508 12.283673
17.983023 12.220532
18.019188 12.157226
18.05501 12.093754
18.0905 12.03012
18.125658 11.966327
18.160492 11.902374
18.195009 11.838271
18.22921 11.77401
18.263103 11.709599
18.296696 11.645044
18.329994 11.580342
18.363001 11.515497
18.395723 11.45051
18.428169 11.385386
18.460339 11.320122
18.492245 11.254729
18.52389 11.189202
18.555275 11.123549
18.586411 11.057767
18.617304 10.991863
18.647961 10.925838
18.678379 10.859692
18.708574 10.793429
18.738546 10.727054
18.768301 10.660564
18.797848 10.593968
18.827188 10.527266
18.856327 10.460458
18.885277 10.393546
18.914036 10.326537
18.942614 10.259431
18.971012 10.192232
18.999239 10.124938
19.027302 10.057556
19.055206 9.990087
19.082952 9.922537
19.110548 9.854901
19.138002 9.787187
19.165319 9.719397
19.192503 9.651534
19.219561 9.583595
19.246494 9.515594
19.273317 9.447521
19.300024 9.379386
19.326626 9.311189
19.35313 9.242933
19.379539 9.174622
19.405857 9.106256
19.432096 9.037841
19.458256 8.969377
19.484339 8.900867
19.510361 8.832314
19.536322 8.763721
19.562222 8.695088
19.588072 8.626422
19.613882 8.55772
19.639643 8.488992
19.665379 8.420235
19.691076 8.351455
19.716757 8.28265
19.742416 8.213827
19.768061 8.144989
19.793701 8.076135
19.819338 8.007271
19.844976 7.938398
19.870625 7.869519
19.896284 7.800638
19.921963 7.731755
19.947664 7.662874
19.973398 7.593999
19.999166 7.525131
20.024973 7.456275
20.050821 7.38743
20.076725 7.318602
20.102682 7.249793
20.128702 7.181006
20.154789 7.11224
20.180948 7.043505
20.20718 6.974798
20.233492 6.906124
20.259897 6.837483
20.286392 6.768885
20.312983 6.700322
20.339676 6.631809
20.366478 6.563336
20.393393 6.494918
20.420425 6.426547
20.44758 6.358236
20.474865 6.289978
20.502285 6.221784
20.52984 6.153653
20.557539 6.085588
20.585386 6.017592
20.61339 5.949669
20.641552 5.88182
20.66988 5.814049
20.698376 5.746359
20.727043 5.678753
20.755894 5.611233
20.784925 5.543803
20.814148 5.476463
20.843563 5.40922
20.87318 5.342076
20.903002 5.27503
20.933035 5.208091
20.96328 5.141257
20.993744 5.074535
21.024435 5.007923
21.055353 4.94143
21.086508 4.875052
21.117899 4.8088
21.149538 4.742669
21.181423 4.676668
21.213566 4.610795
21.245968 4.54506
21.278633 4.479457
21.311567 4.413995
21.344776 4.348676
21.378263 4.283503
21.412035 4.218478
21.446095 4.153605
21.480452 4.088887
21.515104 4.024325
21.55006 3.959926
21.585325 3.895689
21.620905 3.83162
21.656799 3.76772
21.69302 3.703993
21.729567 3.640441
21.766443 3.577071
21.803663 3.513881
21.841219 3.450878
21.879129 3.388061
21.917381 3.325438
21.955999 3.263007
21.994974 3.200776
22.034317 3.138743
22.07403 3.076918
22.114119 3.015296
22.154587 2.953887
22.195442 2.892689
22.236687 2.831709
22.278326 2.770948
22.320364 2.710411
22.362806 2.650099
22.405659 2.590016
22.448923 2.530166
22.492603 2.470551
22.536711 2.411174
22.581247 2.35204
22.626213 2.29315
22.671616 2.23451
22.717461 2.17612
22.76375 2.117983
22.81049 2.060108
22.857689 2.00249
22.905344 1.94514
22.953466 1.888055
23.002056 1.831243
23.051123 1.774703
23.100664 1.718442
23.150694 1.66246
23.201206 1.606763
23.252211 1.551353
23.303715 1.496235
23.355721 1.441408
23.408232 1.386879
23.461252 1.332651
23.51479 1.278725
23.568844 1.225109
23.623423 1.1718
23.67853 1.118809
23.734165 1.066135
23.790337 1.013787
23.847052 0.961764
23.904305 0.910077
23.962103 0.858725
24.020449 0.807721
24.079348 0.757063
24.138794 0.706763
24.198801 0.656822
24.259361 0.607252
24.320484 0.558056
24.38216 0.509243
24.444412 0.460817
24.507217 0.412792
24.570591 0.365168
24.634525 0.317959
24.699026 0.271169
24.764099 0.224811
24.829739 0.17889
24.895943 0.133418
24.962715 0.088401
25.030056 0.043851
25.097963 -0.000222
25.166433 -0.043809
25.235466 -0.086898
25.305071 -0.129481
25.375227 -0.171545
25.445953 -0.213081
25.517237 -0.254074
25.589075 -0.294516
25.66147 -0.334392
25.734421 -0.373694
25.807917 -0.412404
25.881966 -0.450515
25.95656 -0.48801
26.031694 -0.524879
26.107368 -0.561105
26.183582 -0.596678
26.260321 -0.63158
26.337593 -0.665801
26.41539 -0.699323
26.493704 -0.732135
26.572533 -0.764217
26.651876 -0.795559
26.731722 -0.826142
26.812073 -0.855953
26.89292 -0.884974
26.974251 -0.913187
27.056072 -0.940578
27.138374 -0.967132
27.221146 -0.992829
27.304388 -1.017652
27.388092 -1.041585
27.472248 -1.064608
27.556854 -1.086706
27.641895 -1.107857
27.727377 -1.128045
27.81328 -1.14725
27.899603 -1.165454
27.986332 -1.182637
28.073475 -1.19878
28.160997 -1.213861
28.248919 -1.227863
28.337215 -1.240764
28.42588 -1.252544
28.514904 -1.26318
28.604284 -1.272654
28.693996 -1.280943
28.784052 -1.288025
28.874422 -1.293879
28.965109 -1.298483
29.056099 -1.301813
29.147381 -1.303848
29.238945 -1.304565
29.330776 -1.30394
29.422874 -1.301949
29.515221 -1.29857
29.607803 -1.293778
29.700611 -1.287549
29.793638 -1.279859
29.886868 -1.270682
29.980286 -1.259994
30.073879 -1.247771
30.167645 -1.233985
30.26156 -1.218611
30.355619 -1.201624
30.449802 -1.182997
30.544106 -1.162704
30.638508 -1.140718
30.733 -1.117011
30.827562 -1.091558
30.922188 -1.064328
31.016853 -1.035297
31.111557 -1.004434
31.20627 -0.971713
31.300991 -0.937103
31.395695 -0.900576
31.490377 -0.862106
31.585007 -0.821661
31.679581 -0.779209
31.774084 -0.734722
31.868484 -0.688174
31.962784 -0.63953
32.056965 -0.58876
32.151009 -0.535832
32.244881 -0.48072
32.338589 -0.423386
32.432098 -0.363805
32.52541 -0.301938
32.618488 -0.23776
32.711323 -0.171231
32.803894 -0.102326
32.896194 -0.031006
32.98819 0.042757
33.079872 0.119002
33.171215 0.197756
33.262211 0.279061
33.352825 0.362948
33.44305 0.449446
33.532864 0.538593
33.622242 0.63043
33.711174 0.724988
33.799629 0.822296
33.887592 0.922397
33.975048 1.025329
34.06197 1.131126
34.148335 1.239818
34.234119 1.351446
34.319313 1.466055
34.403893 1.583675
34.487823 1.704338
34.571102 1.828094
34.653687 1.954968
34.735577 2.085012
34.81673 2.218251
34.897137 2.354738
34.976768 2.494497
35.055603 2.637582
35.133614 2.784018
35.210789 2.93386
35.28709 3.087133
35.362507 3.243893
35.437 3.404164
35.510567 3.568003
35.58316 3.735435
35.654766 3.906519
35.725365 4.081286
35.794918 4.259772
35.863411 4.442027
35.930817 4.628102
35.997108 4.818029
36.062256 5.011844
36.12624 5.209599
36.189037 5.411345
36.250614 5.61712
36.31094 5.826955
36.369999 6.040916
36.427757 6.259025
36.484196 6.481349
36.539272 6.707911
36.592972 6.938779
36.64526 7.173975
36.696114 7.413568
36.745506 7.657583
36.793404 7.906084
36.839779 8.1591
36.884605 8.416698
